fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_pierceb,results_blankenshipd,results_de_la_fuenter,results_write-ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_pierceb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,results_absentee_write-ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,state,retrieved_time,results_hawkinsh,results_absentee_hawkinsh,votes2016,margin2016,votes2012,margin2012,results_westk,results_kennedya,results_la_rivag,results_absentee_westk,results_absentee_kennedya,results_absentee_la_rivag,results_carrollb,results_absentee_carrollb,results_simmonsj,results_boddiep,results_hammonsb,results_hoeflingt,results_absentee_simmonsj,results_absentee_boddiep,results_absentee_hammonsb,results_absentee_hoeflingt,results_collinsp,results_absentee_collinsp,results_kingr,results_absentee_kingr,results_segalj,results_absentee_segalj,results_gammonc,results_myersj,results_absentee_gammonc,results_absentee_myersj,results_paigeh,results_lafontainec,results_duncanr,results_mccormick,results_huberb,results_kopitkek,results_swingg,results_scalfz,results_absentee_paigeh,results_absentee_lafontainec,results_absentee_duncanr,results_absentee_mccormick,results_absentee_huberb,results_absentee_kopitkek,results_absentee_swingg,results_absentee_scalfz,results_hunterd,results_absentee_hunterd,results_none-of-these-candidates,results_absentee_none-of-these-candidates,results_tittles,results_absentee_tittles,results_charlesm,results_mchughj,results_jacob_fambrop,results_scottj,results_kishorej,results_absentee_charlesm,results_absentee_mchughj,results_absentee_jacob_fambrop,results_absentee_scottj,results_absentee_kishorej
02901,ED 1,4251,955,5,9,Released as a separate subtotal as first report of the night,56,7634,56%,56% reported,edison,2,unknown,NA,4000,NA,NA,2322,1723,140,28,19,17,2,0,378,553,14,5,1,4,0,0,2020-11-04T10:43:52Z,14.0908,R+14,Trump +14,republican,14.0908,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02910,ED 10,4886,1369,5,11,Released as a separate subtotal as first report of the night,47,10396,47%,47% reported,edison,2,unknown,NA,4000,NA,NA,3835,863,139,31,10,7,1,0,1042,297,25,2,2,1,0,0,2020-11-04T10:44:01Z,60.82685,R+61,Trump +61,republican,60.82685,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02911,ED 11,5196,2441,4,9,Released as a separate subtotal as first report of the night,47,11142,47%,47% reported,edison,2,unknown,NA,4000,NA,NA,3740,1289,119,32,6,8,2,0,1576,806,45,11,0,3,0,0,2020-11-04T10:44:01Z,47.1709,R+47,Trump +47,republican,47.1709,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02912,ED 12,2309,1365,1,7,Released as a separate subtotal as first report of the night,21,10974,21%,21% reported,edison,2,unknown,NA,4000,NA,NA,1773,482,39,7,3,5,0,0,979,360,21,3,0,2,0,0,2020-11-04T10:44:02Z,55.91165,R+56,Trump +56,republican,55.91165,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02913,ED 13,3229,281,3,6,Released as a separate subtotal as first report of the night,43,7513,43%,43% reported,edison,2,unknown,NA,4000,NA,NA,2299,752,137,18,10,10,3,0,146,128,6,1,0,0,0,0,2020-11-04T10:44:03Z,47.90957,R+48,Trump +48,republican,47.90957,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02914,ED 14,4050,0,2,7,Released as a separate subtotal as first report of the night,34,11983,34%,34% reported,edison,2,unknown,NA,4000,NA,NA,2984,882,143,18,5,16,2,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:04Z,51.90123,R+52,Trump +52,republican,51.90123,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02915,ED 15,2189,477,2,5,Released as a separate subtotal as first report of the night,38,5729,38%,38% reported,edison,2,unknown,NA,4000,NA,NA,1207,879,74,16,8,2,3,0,220,248,9,0,0,0,0,0,2020-11-04T10:44:05Z,14.98401,R+15,Trump +15,republican,14.98401,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02916,ED 16,3057,223,3,7,Released as a separate subtotal as first report of the night,36,8551,36%,36% reported,edison,2,unknown,NA,4000,NA,NA,1721,1196,96,25,7,9,3,0,51,166,5,0,0,1,0,0,2020-11-04T10:44:06Z,17.1737,R+17,Trump +17,republican,17.1737,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02917,ED 17,2497,755,2,7,Released as a separate subtotal as first report of the night,32,7806,32%,32% reported,edison,2,unknown,NA,4000,NA,NA,1197,1192,62,34,6,6,0,0,269,469,10,5,0,2,0,0,2020-11-04T10:43:23Z,0.20024,R+0.2,Trump +0.2,republican,0.20024,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02918,ED 18,2966,1225,3,10,Released as a separate subtotal as first report of the night,35,8512,35%,35% reported,edison,2,unknown,NA,4000,NA,NA,1293,1576,46,33,6,10,2,0,416,785,10,9,1,3,1,0,2020-11-04T10:43:23Z,9.54147,D+10,Biden +10,democrat,-9.54147,alaska,2020-11-07T13:15:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
